sp,FL,RW,CL,CW,BD
B,8.1,6.7,16.1,19.0,7.0
B,8.8,7.7,18.1,20.8,7.4
B,9.2,7.8,19.0,22.4,7.7
B,9.6,7.9,20.1,23.1,8.2
B,9.8,8.0,20.3,23.0,8.2
B,10.8,9.0,23.0,26.5,9.8
B,11.1,9.9,23.8,27.1,9.8
B,11.6,9.1,24.5,28.4,10.4
B,11.8,9.6,24.2,27.8,9.7
B,11.8,10.5,25.2,29.3,10.3
B,12.2,10.8,27.3,31.6,10.9
B,12.3,11.0,26.8,31.5,11.4
B,12.6,10.0,27.7,31.7,11.4
B,12.8,10.2,27.2,31.8,10.9
B,12.8,10.9,27.4,31.5,11.0
B,12.9,11.0,26.8,30.9,11.4
B,13.1,10.6,28.2,32.3,11.0
B,13.1,10.9,28.3,32.4,11.2
B,13.3,11.1,27.8,32.3,11.3
B,13.9,11.1,29.2,33.3,12.1
B,14.3,11.6,31.3,35.5,12.7
B,14.6,11.3,31.9,36.4,13.7
B,15.0,10.9,31.4,36.4,13.2
B,15.0,11.5,32.4,37.0,13.4
B,15.0,11.9,32.5,37.2,13.6
B,15.2,12.1,32.3,36.7,13.6
B,15.4,11.8,33.0,37.5,13.6
B,15.7,12.6,35.8,40.3,14.5
B,15.9,12.7,34.0,38.9,14.2
B,16.1,11.6,33.8,39.0,14.4
B,16.1,12.8,34.9,40.7,15.7
B,16.2,13.3,36.0,41.7,15.4
B,16.3,12.7,35.6,40.9,14.9
B,16.4,13.0,35.7,41.8,15.2
B,16.6,13.5,38.1,43.4,14.9
B,16.8,12.8,36.2,41.8,14.9
B,16.9,13.2,37.3,42.7,15.6
B,17.1,12.6,36.4,42.0,15.1
B,17.1,12.7,36.7,41.9,15.6
B,17.2,13.5,37.6,43.9,16.1
B,17.7,13.6,38.7,44.5,16.0
B,17.9,14.1,39.7,44.6,16.8
B,18.0,13.7,39.2,44.4,16.2
B,18.8,15.8,42.1,49.0,17.8
B,19.3,13.5,41.6,47.4,17.8
B,19.3,13.8,40.9,46.5,16.8
B,19.7,15.3,41.9,48.5,17.8
B,19.8,14.2,43.2,49.7,18.6
B,19.8,14.3,42.4,48.9,18.3
B,21.3,15.7,47.1,54.6,20.0
O,9.1,6.9,16.7,18.6,7.4
O,10.2,8.2,20.2,22.2,9.0
O,10.7,8.6,20.7,22.7,9.2
O,11.4,9.0,22.7,24.8,10.1
O,12.5,9.4,23.2,26.0,10.8
O,12.5,9.4,24.2,27.0,11.2
O,12.7,10.4,26.0,28.8,12.1
O,13.2,11.0,27.1,30.4,12.2
O,13.4,10.1,26.6,29.6,12.0
O,13.7,11.0,27.5,30.5,12.2
O,14.0,11.5,29.2,32.2,13.1
O,14.1,10.4,28.9,31.8,13.5
O,14.1,10.5,29.1,31.6,13.1
O,14.1,10.7,28.7,31.9,13.3
O,14.2,10.6,28.7,31.7,12.9
O,14.2,10.7,27.8,30.9,12.7
O,14.2,11.3,29.2,32.2,13.5
O,14.6,11.3,29.9,33.5,12.8
O,14.7,11.1,29.0,32.1,13.1
O,15.1,11.4,30.2,33.3,14.0
O,15.1,11.5,30.9,34.0,13.9
O,15.4,11.1,30.2,33.6,13.5
O,15.7,12.2,31.7,34.2,14.2
O,16.2,11.8,32.3,35.3,14.7
O,16.3,11.6,31.6,34.2,14.5
O,17.1,12.6,35.0,38.9,15.7
O,17.4,12.8,36.1,39.5,16.2
O,17.5,12.0,34.4,37.3,15.3
O,17.5,12.7,34.6,38.4,16.1
O,17.8,12.5,36.0,39.8,16.7
O,17.9,12.9,36.9,40.9,16.5
O,18.0,13.4,36.7,41.3,17.1
O,18.2,13.7,38.8,42.7,17.2
O,18.4,13.4,37.9,42.2,17.7
O,18.6,13.4,37.8,41.9,17.3
O,18.6,13.5,36.9,40.2,17.0
O,18.8,13.4,37.2,41.1,17.5
O,18.8,13.8,39.2,43.3,17.9
O,19.4,14.1,39.1,43.2,17.8
O,19.4,14.4,39.8,44.3,17.9
O,20.1,13.7,40.6,44.5,18.0
O,20.6,14.4,42.8,46.5,19.6
O,21.0,15.0,42.9,47.2,19.4
O,21.5,15.5,45.5,49.7,20.9
O,21.6,15.4,45.7,49.7,20.6
O,21.6,14.8,43.4,48.2,20.1
O,21.9,15.7,45.4,51.0,21.1
O,22.1,15.8,44.6,49.6,20.5
O,23.0,16.8,47.2,52.1,21.5
O,23.1,15.7,47.6,52.8,21.6
